y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
31.63272727,22.69376821,15.12221018,39.23181818,17.56443636,24.73934545,1.412618182,174.3636364,147.3463636,120.6027273,126.2727273,448.6636364,40.26454545,93.96407337,3.862356529,85.44812973,14.93342055,3.274284764,93.4,3.7,83.9,16.70235546,5.139186296
32.054,24.37719038,16.24397468,36.17442,18.72148,26.07721,1.40033,175.328,147.304,122.167,125.6,452.928,40.88,94.7497215,3.799430327,85.60208251,14.51032095,3.085072448,94.2,3.6,84.3,13.15240084,4.384133612
31.836,20.12074748,13.40765313,37.96342,16.92855,26.73378,1.5835,167.18,145.202,110.151,121.1,434.831,40.476,95.12269188,3.921659678,85.69815764,12.65892868,2.170514981,94.2,3.9,83.7,12.47947455,2.6272578
28.11,29.70179685,19.7920773,38.11235,18.43105,25.1935,1.36705,132.29,151.91,103.565,111.5,344.205,34.075,94.99055572,3.740655383,85.18837388,10.88101246,2.158373643,94.2,3.5,84.1,12.47947455,2.6272578
52.30666667,23.12771456,15.41137449,29.3368,20.5446,30.7842,1.4999,214.4333333,150.1266667,138.31,110.3333333,578.84,47.45333333,94.71351102,3.791903833,85.6340862,9.809135651,2.196135027,93.6,3.6,83.5,10.59782609,2.989130435
31.31636364,23.53046676,15.67975228,35.96266364,18.73873636,26.4413,1.4466,171.3927273,142.0863636,114.5281818,126.2727273,460.1009091,41.57909091,94.26501788,3.99488063,85.01543735,12.38146866,3.113056467,93.2,3.5,83.7,12.1869783,4.507512521
32.622,24.00420492,15.99543225,40.19977,16.58473,25.03402,1.53732,171.467,143.477,118.087,123.5,463.655,41.144,93.81361724,3.867217613,85.56168791,13.0454526,2.764562762,93.2,3.5,83.9,13.66459627,3.726708075
31.316,25.9817237,17.31317086,38.48795,17.63113,25.14856,1.46971,174.61,144.589,126.604,128,458.547,40.374,94.11596388,3.743705234,85.78723855,12.07888335,2.580760545,94.1,3.5,84.4,12.54752852,2.851711027
28.48363636,22.91116646,15.26707559,36.18043636,18.47762727,26.63898182,1.458690909,181.4563636,142.8918182,117.5654545,124.5454545,456.5709091,40.21090909,94.54035314,3.899907642,85.65393029,15.40347222,2.668563929,93,3.4,84,14.64737794,3.254972875
32.39818182,23.84265865,15.88778434,37.50027273,17.70052727,26.66212727,1.521790909,175.8236364,147.7009091,120.5827273,123.2727273,448.9736364,39.90727273,93.77467331,4.061365366,85.45949211,17.29742945,4.481418064,93,3.3,84.4,16.71428571,5
33.082,24.78967869,16.51884023,38.6163,17.36454,25.34125,1.46658,173.996,150.467,122.482,124.6,441.595,39.535,93.67372152,3.795973411,85.77815128,14.72552876,4.481411956,93,3.4,84.4,14.23550088,4.74516696
33.566,24.03647346,16.0169347,39.14781,17.23002,24.88029,1.46232,176.74,145.517,113.057,122.7,463.271,40.231,94.01900377,3.791040558,85.79136991,12.56286656,3.001678589,93.1,3.5,84.8,15.16966068,5.588822355
32.59454545,22.25819461,14.83196153,39.31581818,16.83915455,25.33471818,1.527481818,177.0718182,148.5054545,122.4654545,125,454.2536364,40.62818182,94.08371628,4.091423434,85.3915893,21.60083591,6.453458417,93.1,3.7,84.3,18.35205993,5.243445693
31.99333333,24.49313288,16.32123408,39.32235556,17.18561111,24.92186667,1.499377778,173.2655556,148.7666667,121.1588889,124.2222222,439.1111111,39.94111111,94.71755643,3.900835817,85.78386863,18.44154348,5.423347072,93.7,3.7,84,17.05989111,5.626134301
34.476,16.99835109,11.32701433,40.1402,16.81524,24.67478,1.50113,176.494,143.824,113.458,120.2,464.334,41.648,94.70968852,3.819554709,86.10891109,12.32209358,2.485502379,94.2,3.6,84.2,12.16814159,5.088495575
31.51454545,22.94427192,15.28913572,36.95711818,18.28972727,26.15326364,1.469736364,174.3563636,146.4754545,122.3490909,124.5454545,445.9754545,40.60363636,94.67654872,3.993554394,85.91953722,12.84813505,2.75031538,94.2,3.8,84.3,13.14553991,4.225352113
31.904,23.57421596,15.70890498,36.09959,18.67755,26.442,1.44144,178.915,148.473,129.31,124.2,440.459,40.279,94.17137904,3.771154404,85.88713252,13.80183116,2.903974668,93.7,3.6,84.4,14.10788382,4.564315353
34.708,23.48798587,15.65144473,37.99298,17.07223,26.26366,1.55622,185.358,148.744,122.733,123.4,467.838,41.413,94.58435226,3.827578312,85.99098119,16.42297277,5.607295841,93.7,3.3,84.6,12.41721854,5.463576159
32.78545455,23.30058206,15.52656641,38.92488182,17.47339091,24.82607273,1.445490909,176.5209091,147.6081818,126.62,122.3636364,443.8109091,41.66636364,94.71416984,3.807416914,86.02311957,16.39914197,5.42074847,93.7,3.5,84.6,12.90322581,5.64516129
31.415,25.71953143,17.13845652,37.75211,17.32919,26.27652,1.53909,180.985,149.19,126.786,127.6,447.833,40.446,95.28668521,3.973157659,86.22139941,11.53430178,2.785428902,94.1,3.6,84.6,12.66794626,4.414587332
32.14333333,23.5167111,15.67058607,38.414675,16.89564167,26.1157,1.553658333,177.705,148.2566667,114.5516667,126.75,448.8108333,38.91916667,94.85971575,4.000302567,86.32951989,24.40866564,8.590521015,94.3,3.5,84.5,15.38461538,4.120879121
